Date,Terraclimate_Runoff_m3,Terraclimate_Soil_Water_m3,Terraclimate_AET_m3
2016-01-01,698866.5569999998,2810389367.6978607,43056106.85847058
2016-02-01,77961466.20635675,11264573281.084173,5515242844.79614
2016-03-01,333544959.53169274,16968704179.30199,19726229246.943176
2016-04-01,251779707.39307067,13788426869.576782,17949663168.449512
2016-05-01,66261757.05923521,9192753546.196932,15020692414.36072
2016-06-01,36745205.2670509,6131058696.479407,10908515669.520605
2016-07-01,1519347.5207843129,4802592836.286731,2573798930.1292024
2016-08-01,7986229.756737273,3995464223.7199364,3245443925.2678246
2016-09-01,50615244.97551738,3437054161.290932,9779040890.129948
2016-10-01,33501421.170046873,3023342403.6858788,6243086400.108365
2016-11-01,60949569.8763018,3484271771.5494275,10880424141.039814
2016-12-01,0.0,3503789575.3424277,9604725.293000001
2017-01-01,0.0,3503789575.3424277,0.0
2017-02-01,182579681.9698902,17909262798.718716,7309376594.174336
2017-03-01,847962221.8531612,21366194313.76648,23007556827.40403
2017-04-01,155979812.216646,16304446995.942432,19772012170.5623
2017-05-01,65618606.30933359,9475018784.593073,12419614922.231678
2017-06-01,44488245.57852968,6543954519.94681,10587509631.968098
2017-07-01,33952318.853113495,5074593792.721333,6245338662.048716
2017-08-01,4618570.294611767,4194938428.265499,2965600026.5056496
2017-09-01,63178653.78194113,3591511456.6615143,12266625980.039278
2017-10-01,9981665.964811772,3146180483.300416,2747912694.2560596
2017-11-01,42944754.32843524,2826186459.1101623,7965053291.6308365
2017-12-01,633729.087,2893369800.9205604,492337984.05661947
2018-01-01,26605875.187529407,4727178791.074986,3433186172.1777325
2018-02-01,6112169.57063138,4960844799.268079,1513832944.9370291
2018-03-01,112043911.52490954,9670633303.4889,15113449686.873951
2018-04-01,85517063.17690165,9073299951.622265,13780870113.963755
2018-05-01,62613966.58184289,6068231479.455214,14192765889.152355
2018-06-01,8448662.559145078,4496721742.64406,3511971539.278531
2018-07-01,33477511.232693892,3694667998.0499573,5069925871.900393
2018-08-01,25491349.22305472,3168858682.689479,4228387921.806465
2018-09-01,0.0,2788387624.9240575,677520982.9390179
2018-10-01,80031931.82482748,2598713421.81265,14780567149.594769
2018-11-01,35216808.09487437,2817981088.2396345,6015661932.849739
2018-12-01,211377.435,2918916232.792167,86572421.63662353
2019-01-01,3037870.3179529347,3562630570.437161,242219384.75889382
2019-02-01,35210859.73553731,7534275057.805278,2513624851.375188
2019-03-01,428223562.28907394,18093203389.49403,18710855833.541744
2019-04-01,569510838.2686918,17034204109.444202,23513417507.708496
2019-05-01,155015532.55446985,13217278880.251162,29613143635.464844
2019-06-01,18057942.13297251,7337420424.906942,9376336100.677773
2019-07-01,19010882.81872157,5457903765.401169,5256262415.074862
2019-08-01,11178433.085392157,4418551241.880531,3538439571.9800925
2019-09-01,94080380.0125134,3735322871.4616575,18130667295.53536
2019-10-01,16590952.525443144,3264958951.2400794,4012854361.60232
2019-11-01,41167814.52191371,3091108091.9992685,8505441268.798838
2019-12-01,5985325.290505889,3745534279.795358,813673335.2454284
2020-01-01,11345525.23651765,4819749522.784483,1344823266.9587524
2020-02-01,12889173.81453725,5533249299.702125,2105773624.353902
2020-03-01,109228702.70572543,9330504669.701574,16521026707.31165
