Date,Terraclimate_Runoff_m3,Terraclimate_Soil_Water_m3,Terraclimate_AET_m3
2005-01-01,4064818.5735137183,9531607057.014406,44110504.931219675
2005-02-01,33452195.325701877,14786061778.115671,1001738379.2384195
2005-03-01,475278741.17961395,19255396093.94491,17687880423.567078
2005-04-01,541454430.1268598,16458607288.545364,21909770267.10583
2005-05-01,180951827.15219572,11977192240.749626,26295134711.161854
2005-06-01,75819773.05063885,7535518754.064599,18948509866.850758
2005-07-01,430332.361109804,5487736913.327906,3200140302.342572
2005-08-01,27190674.92526649,4432669039.400823,5574079527.441676
2005-09-01,23241144.44727838,3747673914.047076,4528548010.364136
2005-10-01,41177139.78250189,3258287631.8380585,7918847641.569864
2005-11-01,37003150.9284941,3472814635.858604,7080967374.528661
2005-12-01,1397750.9280000008,4109921228.4596786,36045365.936462745
2006-01-01,29101147.343870502,9080348213.213848,828282272.7161378
2006-02-01,3990562.4684470496,10237164318.711004,119723114.24981557
2006-03-01,302172449.2985986,17922417502.50161,13599287271.264338
2006-04-01,564527536.3029149,16343224906.667221,23087745440.55053
2006-05-01,41521632.83682738,8830816014.060751,13729875089.486334
2006-06-01,37648575.54545456,6225298764.385992,9632687062.347406
2006-07-01,27492684.977615472,4917393530.039646,5525215388.060704
2006-08-01,31607464.855803777,4096005934.8158216,6748843793.079158
2006-09-01,59872709.923658736,3521963841.8814044,11713822997.288858
2006-10-01,49609539.05057235,3103304580.043322,10104020932.51254
2006-11-01,42658609.678266644,3616197382.9899826,7346123641.905738
2006-12-01,227634.148,3861229622.163862,25343689.73267452
2007-01-01,0.0,3861229622.163862,0.0
2007-02-01,40098016.589427456,8067030508.917749,3515943003.5887976
2007-03-01,88816829.4437882,9241658849.751894,14436415748.905302
2007-04-01,39883802.60104708,7274357299.673085,7918141004.925066
2007-05-01,28744284.300039094,5279104234.570462,7133365156.023095
2007-06-01,34315937.2274312,4226105076.6796803,7685066629.133395
2007-07-01,33708684.78879979,3578744705.1672564,5694112535.055139
2007-08-01,20135342.79131376,3120512237.574345,4163944749.369167
2007-09-01,45260555.40663925,2774301256.4113364,8479655295.560979
2007-10-01,55313307.072164595,2502476168.981999,10815849625.608597
2007-11-01,1175361.249572549,2325770865.266792,2511130347.6316385
2007-12-01,0.0,2393710309.869791,552596.7540000002
2008-01-01,0.0,2393710309.869791,0.0
2008-02-01,14230834.362439228,5358711882.030333,128653597.66128242
2008-03-01,129056101.47130606,13828581432.387478,13194510545.319443
2008-04-01,77292883.67290996,12352152441.566296,14231046240.059628
2008-05-01,99756799.72143129,9392464838.743639,17433471305.611862
2008-06-01,35377634.4554939,6145991218.228361,10045840523.165552
2008-07-01,6238566.026337262,4772466117.601455,3237857529.4657955
2008-08-01,28185681.057764545,3965477177.0430408,5497772736.847551
2008-09-01,22068606.40969801,3411088024.2791786,5225542729.842712
2008-10-01,33109456.563333172,3001527860.5709887,6539377879.3852625
2008-11-01,42721007.79065471,3060850323.4523697,7785360755.367888
2008-12-01,32523.487999999998,3229541403.75504,6692259.498000011
2009-01-01,1511345.2530000005,3861915032.902427,15351217.687760776
2009-02-01,22811141.842125475,7736951317.167254,880100141.2317023
2009-03-01,101575455.99452944,11487329480.466763,14356898046.178299
2009-04-01,197989183.90034124,12613738396.410236,18495233442.73988
2009-05-01,61647794.489451036,8096349730.032129,13887033614.094185
2009-06-01,130651025.0628926,6136578105.740575,26347733064.98354
2009-07-01,4124229.713364708,4620170446.823447,3574096322.243623
2009-08-01,26494453.43220377,3838150596.64293,5394935959.302734
2009-09-01,28751104.772125386,3308084681.606157,5879135637.169233
2009-10-01,45372049.84583918,2969679404.6367702,8758209647.224634
2009-11-01,1200263.0699960787,2750187886.783385,1992624137.5606363
2009-12-01,0.0,2750187886.783385,0.0
2010-01-01,0.0,2870081301.5666676,2062037.042999999
2010-02-01,6375812.56937256,4370925630.734756,248797703.4989416
2010-03-01,75756869.06687836,6132311268.615492,12971056934.3175
2010-04-01,85809340.94641583,6597511701.642742,13343627454.781862
2010-05-01,100440512.91165878,5658337792.659393,18020573986.767292
2010-06-01,57759814.80526257,4341563509.47623,12143656518.966326
2010-07-01,8832941.464333348,3494677799.4394946,3554733543.6317315
2010-08-01,40801002.18261163,3010290549.8400764,8451408547.428745
2010-09-01,121424.93691764705,2664669812.9661193,2228246158.1442423
2010-10-01,66342555.67049016,2415984571.7990255,13069511034.904272
2010-11-01,48755653.675243065,5929501690.371818,6086608830.997461
2010-12-01,45435480.118458875,13195620858.209612,874253118.639911
2011-01-01,0.0,13216748627.003603,260248.146
2011-02-01,2208596.615894118,13992712351.65227,20777830.057301983
2011-03-01,975034941.6811416,22680862590.044167,18537164420.557182
2011-04-01,628933582.3327496,19763378856.76383,22864392219.416065
2011-05-01,592162709.7633055,18151921193.1547,31500964180.317265
2011-06-01,68910558.02683538,9468079451.165312,18733951475.25309
2011-07-01,34823293.69894485,6503292469.572902,8570184825.404185
2011-08-01,8827309.545498058,5079887117.808154,4352397242.249707
2011-09-01,7848490.504772559,4204146084.1358056,3551905919.311868
2011-10-01,55553081.24692931,3609814081.114564,11591883396.982199
2011-11-01,44639936.50555681,5027399956.346554,7164902317.261388
2011-12-01,0.0,5042422024.913557,1543871.8569999994
2012-01-01,11141804.021694126,7152404891.049078,509705278.83965474
2012-02-01,23477201.208764676,10515301599.848803,1479909195.3339338
2012-03-01,119473346.7933728,11482144939.837156,16573478141.308008
2012-04-01,77687338.44762354,8841057430.674484,15315939630.54283
2012-05-01,26221870.685254727,5957450822.330984,7420819687.338043
2012-06-01,0.0,4675719951.805782,1680156294.6600008
2012-07-01,34839467.51102721,3906027275.8021812,6574504332.128849
2012-08-01,34812598.71047819,3371969522.6139307,6000896105.542511
2012-09-01,19770054.815568645,2974134595.7489896,4279176434.900342
2012-10-01,47392938.54143895,2664415656.4624143,9410573735.189148
2012-11-01,53438551.56242741,3178057727.760898,9573654577.984747
2012-12-01,6803045.436694136,4781155565.955269,217080345.0726237
2013-01-01,0.0,4781155565.955269,0.0
2013-02-01,325958.12200000003,5463093606.075236,13686838.91150589
2013-03-01,118460328.95256804,9630665100.683582,18186735176.692516
2013-04-01,84569754.13683894,9212013358.601986,13452420052.371542
2013-05-01,56126410.56809811,6652269070.391571,11731492354.453074
2013-06-01,42742.11255294118,4722432365.549025,2523372626.24321
2013-07-01,37447368.98548621,3866341325.621295,8054338379.7490635
2013-08-01,9559260.175470622,3311029810.934214,3558151823.3829064
2013-09-01,57675357.706309676,2909738220.5854697,11366066394.27778
2013-10-01,37857069.377737164,2606659626.7417808,7472904894.583761
2013-11-01,33077170.239176225,2579720213.6289506,6045441811.097944
2013-12-01,0.0,2579720213.6289506,0.0
2014-01-01,3787278.901235287,3838377165.4120574,66094643.897341214
2014-02-01,73904477.32235685,11109291853.104385,6128331313.803886
2014-03-01,114608103.0826744,12808468706.29975,15093411394.92911
2014-04-01,90430625.54009014,10112141291.212337,14330947980.758919
2014-05-01,46436577.33970196,6903412081.276121,11335241591.713366
2014-06-01,48277113.309509836,5149766165.104706,11027590047.44282
2014-07-01,25613299.23220766,4184872089.742021,4944748737.506155
2014-08-01,81768838.87027429,3573185907.338973,16260100345.152426
2014-09-01,75289333.56231757,3123643366.1747904,14694426679.413403
2014-10-01,0.0,2779894843.4643826,1082641179.048241
2014-11-01,30458370.07632917,3114321527.7625885,4876226948.334386
2014-12-01,28694239.72769017,7103006212.076767,1818670600.5964146
2015-01-01,6953391.906945108,8314272206.756441,558913680.2188148
2015-02-01,61647929.15293734,9925172817.057405,7933570531.663755
2015-03-01,49185341.07898042,8449716972.231149,8283015193.56296
2015-04-01,66876671.86112157,6885841314.826756,13713244234.471535
2015-05-01,147803814.5919015,6077848108.59264,25446507198.4102
2015-06-01,34108872.72718017,4426561311.653674,8180817477.908314
2015-07-01,49972489.99005086,3643447855.7199726,10716046070.933004
2015-08-01,36759955.76402344,3141484661.8190417,7489393060.669055
2015-09-01,45632072.71083903,2776129199.4100857,8858904372.873585
2015-10-01,36509651.864517495,2494894657.384171,7899010912.07425
2015-11-01,30207154.66242331,3318288751.990064,4345029375.926393
2015-12-01,877155.7670000001,3821101404.333258,11321821.090999998
2016-01-01,698866.5569999998,2810389367.6978607,43056106.85847058
2016-02-01,77961466.20635675,11264573281.084173,5515242844.79614
2016-03-01,333544959.53169274,16968704179.30199,19726229246.943176
2016-04-01,251779707.39307067,13788426869.576782,17949663168.449512
2016-05-01,66261757.05923521,9192753546.196932,15020692414.36072
2016-06-01,36745205.2670509,6131058696.479407,10908515669.520605
2016-07-01,1519347.5207843129,4802592836.286731,2573798930.1292024
2016-08-01,7986229.756737273,3995464223.7199364,3245443925.2678246
2016-09-01,50615244.97551738,3437054161.290932,9779040890.129948
2016-10-01,33501421.170046873,3023342403.6858788,6243086400.108365
2016-11-01,60949569.8763018,3484271771.5494275,10880424141.039814
2016-12-01,0.0,3503789575.3424277,9604725.293000001
2017-01-01,0.0,3503789575.3424277,0.0
2017-02-01,182579681.9698902,17909262798.718716,7309376594.174336
2017-03-01,847962221.8531612,21366194313.76648,23007556827.40403
2017-04-01,155979812.216646,16304446995.942432,19772012170.5623
2017-05-01,65618606.30933359,9475018784.593073,12419614922.231678
2017-06-01,44488245.57852968,6543954519.94681,10587509631.968098
2017-07-01,33952318.853113495,5074593792.721333,6245338662.048716
2017-08-01,4618570.294611767,4194938428.265499,2965600026.5056496
2017-09-01,63178653.78194113,3591511456.6615143,12266625980.039278
2017-10-01,9981665.964811772,3146180483.300416,2747912694.2560596
2017-11-01,42944754.32843524,2826186459.1101623,7965053291.6308365
2017-12-01,633729.087,2893369800.9205604,492337984.05661947
2018-01-01,26605875.187529407,4727178791.074986,3433186172.1777325
2018-02-01,6112169.57063138,4960844799.268079,1513832944.9370291
2018-03-01,112043911.52490954,9670633303.4889,15113449686.873951
2018-04-01,85517063.17690165,9073299951.622265,13780870113.963755
2018-05-01,62613966.58184289,6068231479.455214,14192765889.152355
2018-06-01,8448662.559145078,4496721742.64406,3511971539.278531
2018-07-01,33477511.232693892,3694667998.0499573,5069925871.900393
2018-08-01,25491349.22305472,3168858682.689479,4228387921.806465
2018-09-01,0.0,2788387624.9240575,677520982.9390179
2018-10-01,80031931.82482748,2598713421.81265,14780567149.594769
2018-11-01,35216808.09487437,2817981088.2396345,6015661932.849739
2018-12-01,211377.435,2918916232.792167,86572421.63662353
2019-01-01,3037870.3179529347,3562630570.437161,242219384.75889382
2019-02-01,35210859.73553731,7534275057.805278,2513624851.375188
2019-03-01,428223562.28907394,18093203389.49403,18710855833.541744
2019-04-01,569510838.2686918,17034204109.444202,23513417507.708496
2019-05-01,155015532.55446985,13217278880.251162,29613143635.464844
2019-06-01,18057942.13297251,7337420424.906942,9376336100.677773
2019-07-01,19010882.81872157,5457903765.401169,5256262415.074862
2019-08-01,11178433.085392157,4418551241.880531,3538439571.9800925
2019-09-01,94080380.0125134,3735322871.4616575,18130667295.53536
2019-10-01,16590952.525443144,3264958951.2400794,4012854361.60232
2019-11-01,41167814.52191371,3091108091.9992685,8505441268.798838
2019-12-01,5985325.290505889,3745534279.795358,813673335.2454284
2020-01-01,11345525.23651765,4819749522.784483,1344823266.9587524
2020-02-01,12889173.81453725,5533249299.702125,2105773624.353902
2020-03-01,109228702.70572543,9330504669.701574,16521026707.31165
2020-04-01,44242783.92916873,7481751383.933718,8729810829.119884
2020-05-01,28847873.61770182,5314729023.363076,7135657899.153343
2020-06-01,72968583.0069994,4196809102.6247745,14784389597.655823
2020-07-01,1109511.6758705874,3521137092.5804443,2189568757.170891
2020-08-01,749744.2141960785,3057526739.4102373,1782362370.0039248
2020-09-01,1041690.3864784313,2712939531.605506,1648564579.539987
2020-10-01,16276.829,2442986406.564228,1434706238.5568337
2020-11-01,23384171.065992065,2303928772.716186,4411860778.10433
2020-12-01,0.0,2308331291.961385,113438435.08976851
2021-01-01,1849911.1369294133,2555613617.634091,720857064.6535672
2021-02-01,37406231.77416871,4647270394.704347,5238466283.274113
